Age,Gender,Education,Scuba,Rec_fish,Spearfishing,Sailing,Snorkeling_freediving,Boating,Jetski,Kite_surfing,kayak,main_activity,main_activity_trim,visit_freq,habitat_1,habitat_2,habitat_3,seagrass_image,coral_image,seafood_ben,recr_fish_ben,biodiversity_ben,water_ben,beach_ben,cc_ben,her_ben,coast_ben,iconic_ben,sci_ben,edu_ben,seafood_cor,recr_fish_cor,biodiversity_cor,water_cor,beach_cor,cc_cor,her_cor,coast_cor,iconic_cor,sci_cor,edu_cor,seafood_sea,recr_fish_sea,biodiversity_sea,water_sea,beach_sea,cc_sea,her_sea,coast_sea,iconic_sea,sci_sea,edu_sea,wtp_cor,value1_cor,value5_cor,value10_cor,value50_cor,value100_cor,value500_cor,value1000_cor,min_cor,max_cor,wtp_sea,value1_sea,value5_sea,value10_sea,value50_sea,value100_sea,value500_sea,value1000_sea,min_sea,max_sea,cc_bel,threat_cor1,threat_cor2,threat_cor3,threat_sea1,threat_sea2,threat_sea3,cc_cor,cc_sea,p_d_cor,c_u_d_cor,r_f_cor,t_cor,d_cor,c_f_cor,c_t_cor,a_r_cor,i_a_cor,u_r_cor,p_d_sea,c_u_d_sea,r_f_sea,t_sea,d_sea,c_f_sea,c_t_sea,a_r_sea,i_a_sea,u_r_sea,sst_cor,o_a_cor,cyc_cor,w_q_cor,cots_cor,sst_sea,o_a_sea,cyc_sea,w_q_sea,cots_sea,soc_gbr,cul_gbr
55-64,M,Bachelor's degree,N,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64,F,Bachelor's degree,N,Y,N,Y,Y,N,N,N,N,Rec_fish,Rec_fish,Once a year,Coral ,Watercolour ,Sea animals ,good,good,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,$5,NA,NA,NA,NA,NA,5,5,Y,NA,$5,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64,F,Ph. D,N,Y,N,Y,N,N,N,N,N,Sailing ,Sailing,About once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-24,M,Secondary Education,Y,N,N,Y,Y,N,N,N,N,Sailing,Sailing,Once a year,Coral,Seagrass,mangroves,poor,good,1,2,3,4,3,1,1,2,4,3,3,4,4,5,3,4,4,2,4,5,5,5,4,4,5,3,4,4,2,4,5,5,5,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,NA,NA,NA,$50,NA,$500,NA,50,500,60,Over fishing,Cyclones,Bleaching events,Dredging,Overfishing,Pollution,NA,NA,4,4,2,3,4,4,4,1,1,2,4,4,2,3,5,4,4,1,1,2,3,3,4,4,5,3,2,3,4,3,4,3
25-34,F,Bachelor's degree,N,Y,N,N,N,N,N,N,N,Rec_fish,Rec_fish,Few times a year,Land,Water,Sky,poor,good,3,3,5,5,3,4,3,5,5,4,4,4,4,5,5,3,3,4,2,5,5,5,5,5,5,5,3,3,4,2,5,5,5,Y,NA,NA,NA,$50,NA,NA,"$1,000",50,1000,Y,NA,NA,NA,$50,NA,NA,"$1,000",50,1000,80,Heat,Run off,Foreign soils,Walking on,Erosion,Natural disasters,immediate,immediate,3,5,3,3,5,5,5,5,3,4,4,5,2,4,5,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,4,4
35-44,F,Secondary Education,N,Y,Y,Y,Y,Y,Y,N,N,Boating,Boating,Once a month,Island,Outer reef,NA,very_good,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,F,Bachelor's degree,N,Y,N,N,Y,Y,N,N,N,Rec_fish,Rec_fish,Few times a year,Reef,Water,NA,poor,good,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,Y,NA,NA,NA,NA,$100,NA,NA,100,100,Y,NA,NA,NA,NA,$100,NA,NA,100,100,69,Global warming,Over fishing,Polution,Global warming ,NA,NA,immediate,immediate,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
35-44,M,Master's degree,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,Once a month,Grass,Coral,Sand,good,good,5,1,4,5,5,4,4,4,5,2,3,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,Y,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65+,M,Secondary Education,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,Less than once a year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-34,F,Bachelor's degree,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,About once a week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-54,F,Bachelor's degree,N,Y,N,Y,Y,Y,N,N,N,Boating,Boating,Once a month,mangroves,reef,seagrass,poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-34,M,Secondary Education,N,Y,Y,N,Y,N,N,N,N,Spearfishing ,Spearfishing,Once a month,Coral reef,Sand cays,John brewer reef,very_poor,very_good,5,4,4,5,3,3,3,3,4,4,3,5,3,4,3,3,3,4,3,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,$50,NA,NA,NA,50,50,Y,NA,NA,NA,$50,NA,NA,NA,50,50,60,Coral bleaching ,Crown of thrones ,Natural environmental impacts cyclones etc ,Natural environmental weather ,.,.,far_away,far_away,3,3,4,3,4,3,4,4,2,4,4,3,3,3,5,3,4,4,2,4,4,5,4,3,5,4,5,5,4,2,4,2
18-24,F,Bachelor's degree,N,Y,Y,N,Y,N,Y,N,N,Spearfishing ,Spearfishing,Once a month,Coral ,Fish ,Sharks ,good,good,4,2,5,4,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,$50,NA,NA,"$1,000",50,1000,Y,NA,NA,NA,$50,NA,NA,"$1,000",50,1000,100,Litter,NA,NA,Litter,NA,NA,immediate,immediate,5,5,3,3,5,4,4,5,5,4,5,5,3,3,5,4,4,5,5,4,5,5,3,5,3,5,5,5,5,3,4,3
35-44,M,Secondary Education,N,Y,N,N,N,Y,N,N,N,Rec_fish,Rec_fish,Once a month,Reef ,Rock,Sand,good,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,$5,NA,$50,NA,NA,NA,5,50,Y,NA,NA,NA,$50,$100,NA,NA,50,100,NA,Pollution ,Warming ,Damage ,Pollution ,Warming ,Damage ,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
35-44,M,Secondary Education,N,Y,N,N,N,Y,N,N,N,Boating,Boating,About once a week,Bommies,Seagrass,Mangroves,very_good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,$1,NA,NA,$50,NA,NA,NA,1,50,Y,$1,NA,NA,$50,NA,NA,NA,1,50,NA,Coral bleeching ,Starfish ,Over fishing,Pollution ,Boating ,Rubbish,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4
65+,M,Diploma,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,About once a week,Turtles,Fish types,Reef,poor,very_good,5,5,5,5,5,1,1,5,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,$5,NA,NA,NA,NA,"$1,000",5,1000,Y,NA,$5,NA,NA,NA,NA,"$1,000",5,1000,NA,Fish,Reef,Turtles,Floods,Chemicals,Over eating,no_threat,no_threat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
45-54,F,Master's degree,N,Y,N,N,N,N,N,N,N,Rec_fish,Rec_fish,Once a month,Reef,Fish,Coral,very_good,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Global warming,NA,NA,Global warming,NA,NA,immediate,immediate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
45-54,F,Secondary Education,N,Y,N,N,Y,Y,Y,N,N,NA,NA,Once a month,Reef,Marine life,Birds,good,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,$100,$500,NA,100,500,Y,NA,NA,NA,NA,$100,$500,NA,100,500,NA,Crown of thorns,Sedimentation,Climate control ,Pollution,NA,NA,no_opinion,no_opinion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
65+,F,Bachelor's degree,N,Y,N,Y,Y,N,N,N,N,Snorkeling_freediving,Snorkeling_freediving,Few times a year,Coral,Invertebrates,Fish,poor,good,1,2,5,5,4,5,5,4,5,5,5,1,3,5,5,4,5,5,4,5,5,5,1,4,5,5,4,5,5,4,5,5,5,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,NA,NA,NA,$50,NA,$500,NA,50,500,100,Sea temperature rise,Water quality ,Recreational activities,Sea temperature rise ,Recreational activities,Water quality,immediate,immediate,5,4,3,3,5,2,4,5,4,5,5,4,3,2,5,4,5,5,3,5,5,5,5,5,5,5,3,5,5,1,3,3
35-44,M,Bachelor's degree,N,Y,Y,N,Y,N,N,N,N,Rec_fish,Rec_fish,Few times a year,Coral reefs,Islands/cays,Lagoon areas,poor,very_good,5,5,5,4,3,4,5,2,5,3,5,5,5,5,4,4,5,3,5,5,4,5,5,5,5,5,3,5,5,5,5,4,5,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,NA,$100,NA,NA,100,100,80,"Climate change( increased water temperatures, cyclones, ocean acidification etc.)",Crown of thorns starfish.,Overfishing.,Habitat damage,Pesticides/chemical run off,Sedimentation,immediate,immediate,3,2,4,2,3,3,3,4,3,4,4,4,4,2,5,3,5,5,4,4,5,5,4,5,4,5,5,5,5,3,5,5
65+,M,Diploma,N,N,N,Y,N,N,N,N,N,Sailing,Sailing,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-24,M,Secondary Education,N,Y,N,N,N,Y,N,N,N,Rec_fish,Rec_fish,Once a year,Coral reef,Kelp field ,Sand flats,very_poor,good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,M,Diploma,N,N,Y,N,N,N,N,N,N,Spearfishing ,Spearfishing,Once a month,Reef,Sand,Inshore,very_poor,very_good,3,3,5,NA,2,5,NA,5,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-54,M,Diploma,Y,Y,N,N,Y,Y,N,N,N,Boating ,Boating,Few times a year,Reef,Grass beds,Mangrove ,good,good,3,NA,1,2,NA,NA,NA,4,NA,NA,5,5,5,5,5,3,3,1,5,5,4,5,5,5,5,5,3,3,2,5,5,4,5,Y,NA,$5,$10,NA,NA,NA,NA,5,10,Y,NA,$5,$10,NA,NA,NA,NA,5,10,48,Anchor ,Comical fishing ,Climate ,Sediment ,Development ,Removal of our natural filters,far_away,immediate,3,3,1,2,4,5,5,3,1,2,5,5,1,1,5,5,5,5,1,4,4,4,2,3,4,2,3,1,5,1,4,4
25-34,M,Other,N,Y,Y,N,Y,Y,N,N,N,Spearfishing ,Spearfishing,About once a week,Hard corals,Sandy lagoons,Shoalie ground,poor,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-24,M,Bachelor's degree,N,N,Y,N,N,N,N,N,N,Spearfishing ,Spearfishing,About once a week,Coral,Sediment ,Pelagic,very_poor,poor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-24,M,Secondary Education,N,Y,Y,N,Y,Y,N,N,N,Spearfishing ,Spearfishing,Once a month,Reef drop offs ,Reef lagoon ,Reef Flats ,very_poor,very_poor,4,2,5,4,4,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,Y,NA,NA,NA,NA,NA,NA,"$1,000",1000,1000,Y,NA,NA,NA,NA,NA,NA,"$1,000",1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,M,Master's degree,N,N,Y,N,N,N,N,N,N,Spearfishing ,Spearfishing,Few times a year,Corals ,"Pelagic species, ","Remote islands, rock ground",poor,very_good,4,4,5,4,2,4,3,4,4,4,4,5,3,5,3,3,5,2,5,5,4,3,NA,3,5,3,3,5,2,5,5,4,3,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,100,Commercial Overfishing ,Global heat,Ocean trash,Commercial net fishing ,Global heat,Ocean trash,immediate,immediate,5,3,2,1,5,5,5,3,2,4,5,3,2,1,5,5,5,3,2,4,5,4,4,5,2,5,4,4,5,2,4,3
NA,M,Secondary Education,N,Y,Y,N,Y,Y,N,N,N,Rec_fish,Rec_fish,Few times a year,Coastal reef,Bommies,Seafloor sediment,poor,very_good,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,N,NA,NA,NA,NA,NA,NA,NA,0,0,N,NA,NA,NA,NA,NA,NA,NA,0,0,10,Boats,Water pollution,Natural disasters,Boats,Pollution,Natural disasters ,no_threat,no_threat,3,2,2,2,4,3,5,1,1,1,3,2,2,2,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4
25-34,M,Diploma,Y,Y,Y,Y,Y,N,N,N,N,Spearfishing ,Spearfishing,Once a month,Nudie branches ,Coral trout ,Tuskfish ,very_poor,very_good,5,4,5,5,3,5,4,5,5,5,4,4,3,5,5,3,5,4,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,47,Human trash,Storms,Sun bleaching,Human trash,Over fishing,Storms,no_opinion,no_opinion,5,4,2,3,5,5,5,3,4,4,4,4,2,3,5,5,5,3,4,4,3,4,5,4,5,3,4,5,4,5,4,4
45-54,F,Diploma,N,N,N,N,Y,N,N,N,N,Snorkeling_freediving,Snorkeling_freediving,Few times a year,Mangroves,Reef,Island reef,very_poor,good,5,3,5,3,3,5,4,5,5,4,4,5,5,4,4,3,4,3,4,4,2,5,3,5,4,5,NA,4,3,2,5,3,3,Y,NA,NA,NA,$50,$100,NA,NA,50,100,Y,NA,NA,NA,$50,$100,NA,NA,50,100,93,Climate change,Rising sea levels,Heating up of the ocean,Change of water temperature,Rising sea levels,Destruction of habitat,immediate,immediate,5,4,2,2,5,4,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,3,3,4,4,3,5,3,4,4
